species,action,action_code,emotion,valid_frames,total_frames,json_path
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,67,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-004600.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,11,97,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-016906.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,86,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-012888.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,111,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-078610.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,105,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-069456.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,94,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-087440.json
DOG,걷거나 달리는 동작,WALKRUN,불안/슬픔,13,135,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-057846.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,111,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-066144.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,90,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-066142.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,109,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-040701.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,125,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-002940.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,96,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-100945.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,132,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-023647.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,97,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-023389.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,10,87,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-064499.json
DOG,걷거나 달리는 동작,WALKRUN,불안/슬픔,13,101,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-021059.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,12,78,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-072438.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,85,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-033678.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,88,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-060740.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,143,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-083218.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,109,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-072319.json
DOG,걷거나 달리는 동작,WALKRUN,불안/슬픔,13,103,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-037788.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,87,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-014372.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,76,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-064738.json
DOG,걷거나 달리는 동작,WALKRUN,불안/슬픔,13,101,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-072735.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,105,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-100320.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,104,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-056969.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,120,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-062936.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,125,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-025104.json
DOG,걷거나 달리는 동작,WALKRUN,불안/슬픔,13,94,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-099462.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,95,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-018163.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,98,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-093546.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,12,87,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-031691.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,148,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-072976.json
DOG,걷거나 달리는 동작,WALKRUN,화남/불쾌,13,113,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-044764.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,100,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-056952.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,10,80,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-102762.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,89,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-050462.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,102,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-101264.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,64,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-019872.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,102,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-078057.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,112,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-097966.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,71,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-032576.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,101,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-037339.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,103,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-099358.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,85,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-035348.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,92,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-056648.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,93,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-080817.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,101,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-085374.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,85,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-065545.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,89,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-051568.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,120,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-030608.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,87,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-015057.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,106,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-016433.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,95,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-078951.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,107,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-058427.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,34,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-014469.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,136,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-077692.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,95,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-068068.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,101,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-065096.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,115,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-042554.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,102,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-090175.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,80,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-018024.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,7,99,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-021754.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,77,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-048775.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,94,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-084755.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,118,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-093671.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,108,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-091382.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,132,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-099922.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,101,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-057153.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,9,95,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-064128.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,145,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-030429.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,96,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-070892.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,123,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-091115.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,95,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-022724.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,101,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-042874.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,84,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-022602.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,88,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-093571.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,151,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-087735.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,98,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-028801.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,73,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-055885.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,120,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-015458.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,79,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-030067.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,104,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-081879.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,63,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-017365.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,7,23,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-056940.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,71,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-050367.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,86,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-013204.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,100,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-051480.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,94,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-064616.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,92,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-070622.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,89,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-014576.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,64,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-038474.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,109,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-028327.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,109,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-090970.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,102,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-014031.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,99,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-059850.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,74,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-035026.json
DOG,걷거나 달리는 동작,WALKRUN,불안/슬픔,13,139,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-034925.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,87,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-007130.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,12,87,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-032793.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,158,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-068281.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,150,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-011577.json
DOG,걷거나 달리는 동작,WALKRUN,불안/슬픔,13,107,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-093072.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,93,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-057598.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,88,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-067748.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,92,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-064600.json
DOG,걷거나 달리는 동작,WALKRUN,화남/불쾌,13,93,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-065064.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,12,91,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-051405.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,108,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-085379.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,99,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-048458.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,70,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-020855.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,98,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-071620.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,81,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-040591.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,96,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-064796.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,80,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-038932.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,104,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-088870.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,4,44,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-013825.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,71,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-013356.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,72,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-035759.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,93,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-054439.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,140,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-052710.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,158,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-050231.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,88,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-062379.json
DOG,걷거나 달리는 동작,WALKRUN,편안/안정,13,102,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-044145.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,88,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-080655.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,4,150,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-061674.json
DOG,걷거나 달리는 동작,WALKRUN,행복/즐거움,13,112,/home/hajun/dev_ws/pet-care-robot/data/Training/DOG/labels/WALKRUN/dog-walkrun-037248.json
